"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","test_get_skills_from_a_specific_resume","tests.api","Sat May 23 22:11:51 UTC 2026","passed","Sat May 23 22:11:51 UTC 2026","TestResume","test_resumes","",""
"","303","test_p1_update_assessment_nonexistent","tests.api","Sat May 23 22:11:31 UTC 2026","passed","Sat May 23 22:11:31 UTC 2026","TestQuizP1","test_quiz","",""
"","3652","test_generate_writing_prompt","tests.api","Sat May 23 22:08:33 UTC 2026","failed","Sat May 23 22:08:37 UTC 2026","TestQuizAPIs","test_quiz","",""
"P0: DEL /api/v1/courses/{id} — delete a course (safe ID).","305","test_delete_course_safe","tests.api","Sat May 23 22:01:10 UTC 2026","passed","Sat May 23 22:01:10 UTC 2026","TestCoursesNewEndpoints","test_courses","",""
"","306","test_list_assessments","tests.api","Sat May 23 22:11:07 UTC 2026","passed","Sat May 23 22:11:08 UTC 2026","TestQuizAPIs","test_quiz","",""
"","282","test_add_students","tests.api","Sat May 23 22:00:00 UTC 2026","passed","Sat May 23 22:00:00 UTC 2026","TestAuthClassrooms","test_auth","",""
"POST /universities/99999/assign-admin → 404.","287","test_p1_assign_admin_nonexistent_university","tests.api","Sat May 23 21:58:51 UTC 2026","passed","Sat May 23 21:58:52 UTC 2026","TestAuthAssignUniAdminP1","test_auth","",""
"POST /v1/interview/start without token → 401/403.","339","test_p1_start_interview_no_auth","tests.api","Sat May 23 22:01:27 UTC 2026","passed","Sat May 23 22:01:27 UTC 2026","TestAIInterviewP1","test_interview","",""
"P1: PUT /api/v1/tenants/{id}/sub-accounts/{id}/limit with empty → 422.","294","test_p1_update_sub_account_limit_empty","tests.api","Sat May 23 22:00:36 UTC 2026","passed","Sat May 23 22:00:37 UTC 2026","TestBillingNewEndpointsP1","test_billing","",""
"POST /auth/universities/my/pending-invites/reject for already accepted invite.","304","test_p1_reject_already_accepted_invite","tests.api","Sat May 23 21:58:39 UTC 2026","passed","Sat May 23 21:58:39 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","356","test_p1_idp_assessment_no_auth","tests.api","Sat May 23 22:00:14 UTC 2026","passed","Sat May 23 22:00:14 UTC 2026","TestAuthNewP1","test_auth","",""
"P1: PATCH /sessions/99999 → 404.","298","test_p1_update_session_status_nonexistent","tests.api","Sat May 23 22:02:09 UTC 2026","passed","Sat May 23 22:02:09 UTC 2026","TestMentorshipSessions","test_mentorship","",""
"","304","test_p1_generate_skill_based_recommendations_empty","tests.api","Sat May 23 22:11:27 UTC 2026","passed","Sat May 23 22:11:28 UTC 2026","TestQuizP1","test_quiz","",""
"","293","test_get_company","tests.api","Sat May 23 22:01:39 UTC 2026","passed","Sat May 23 22:01:39 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"","303","test_p1_create_lesson_missing_type","tests.api","Sat May 23 22:00:45 UTC 2026","passed","Sat May 23 22:00:45 UTC 2026","TestCoursesLessonsP1","test_courses","",""
"P0: Get questions for an assessment.","286","test_get_assessment_questions","tests.api","Sat May 23 21:59:02 UTC 2026","passed","Sat May 23 21:59:02 UTC 2026","TestAuthAssessmentQuestions","test_auth","",""
"P0: POST /api/v1/resumes/{id}/re-analyze.","288","test_re_analyze_resume","tests.api","Sat May 23 22:12:13 UTC 2026","passed","Sat May 23 22:12:13 UTC 2026","TestResumeNewEndpoints","test_resumes","",""
"GET /auth/roles without token → 401/403.","349","test_p1_list_roles_no_auth","tests.api","Sat May 23 21:58:26 UTC 2026","passed","Sat May 23 21:58:27 UTC 2026","TestAuthProtectedP1","test_auth","",""
"","303","test_p1_evaluate_mcq_empty","tests.api","Sat May 23 22:11:40 UTC 2026","passed","Sat May 23 22:11:40 UTC 2026","TestQuizP1","test_quiz","",""
"","305","test_p1_create_quiz_missing_fields","tests.api","Sat May 23 22:01:08 UTC 2026","passed","Sat May 23 22:01:09 UTC 2026","TestCoursesQuizzesP1","test_courses","",""
"GET /idp/my-idps without token → 401/403.","340","test_p1_idp_list_no_auth","tests.api","Sat May 23 21:59:46 UTC 2026","passed","Sat May 23 21:59:46 UTC 2026","TestAuthIDPCRUD","test_auth","",""
"Create a draft assessment for lifecycle tests.","292","test_setup_create_for_lifecycle","tests.api","Sat May 23 21:59:41 UTC 2026","passed","Sat May 23 21:59:41 UTC 2026","TestAuthAssessmentLifecycle","test_auth","",""
"","295","test_get_job","tests.api","Sat May 23 22:01:41 UTC 2026","passed","Sat May 23 22:01:41 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"POST /v1/interview/reply with empty body → 422.","303","test_p1_submit_reply_empty_payload","tests.api","Sat May 23 22:01:29 UTC 2026","passed","Sat May 23 22:01:29 UTC 2026","TestAIInterviewP1","test_interview","",""
