"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with empty body → 422 (validation error).","361","test_p1_login_empty_payload","tests.api","Sun May 17 16:02:11 UTC 2026","passed","Sun May 17 16:02:11 UTC 2026","TestAuthPublicP1","test_auth","",""
"","566","test_p1_idp_save_empty","tests.api","Sun May 17 16:04:21 UTC 2026","passed","Sun May 17 16:04:22 UTC 2026","TestAuthNewP1","test_auth","",""
"P1: GET /api/v1/questions/FAKE → 404.","220","test_p1_get_question_nonexistent","tests.api","Sun May 17 16:05:24 UTC 2026","passed","Sun May 17 16:05:24 UTC 2026","TestCoursesNewEndpointsP1","test_courses","",""
"P0: Get background check status.","318","test_get_background_check","tests.api","Sun May 17 16:06:24 UTC 2026","passed","Sun May 17 16:06:24 UTC 2026","TestMentorshipOnboarding","test_mentorship","",""
"P1: GET /v1/sessions/1 without token → 401/403.","346","test_p1_get_session_no_auth","tests.api","Sun May 17 16:16:58 UTC 2026","passed","Sun May 17 16:16:58 UTC 2026","TestQuizNewEndpointsP1","test_quiz","",""
"P0: Delete a user by ID (admin only).","2030","test_delete_user","tests.api","Sun May 17 16:02:50 UTC 2026","passed","Sun May 17 16:02:52 UTC 2026","TestAuthDeleteUser","test_auth","",""
"P0: Create availability in bulk.","217","test_create_availability_bulk","tests.api","Sun May 17 16:06:19 UTC 2026","passed","Sun May 17 16:06:19 UTC 2026","TestMentorshipAvailability","test_mentorship","",""
"","1194","test_p1_populate_java_questions_unauthorized","tests.api","Sun May 17 16:16:46 UTC 2026","passed","Sun May 17 16:16:47 UTC 2026","TestQuizP1","test_quiz","",""
"DELETE /auth/roles/99999 → 404.","240","test_p1_delete_nonexistent_role","tests.api","Sun May 17 16:02:24 UTC 2026","passed","Sun May 17 16:02:24 UTC 2026","TestAuthProtectedP1","test_auth","",""
"P1: GET /v1/me/notifications without token → 401.","231","test_p1_notifications_no_auth","tests.api","Sun May 17 16:06:33 UTC 2026","passed","Sun May 17 16:06:34 UTC 2026","TestMentorshipNewEndpointsP1","test_mentorship","",""
"P1: POST /v1/analyze/session/minute-score with empty body → 422.","224","test_p1_minute_score_empty","tests.api","Sun May 17 16:05:52 UTC 2026","passed","Sun May 17 16:05:52 UTC 2026","TestInterviewNewEndpointsP1","test_interview","",""
"P1: POST /pricing/entries with empty body → 422.","210","test_p1_create_pricing_entry_empty","tests.api","Sun May 17 16:04:32 UTC 2026","passed","Sun May 17 16:04:32 UTC 2026","TestBillingPricing","test_billing","",""
"P0: List wallet transactions.","429","test_list_transactions","tests.api","Sun May 17 16:04:28 UTC 2026","passed","Sun May 17 16:04:29 UTC 2026","TestBillingWallet","test_billing","",""
"P1: POST /api/v1/risk/accounts/99999/freeze → 404.","208","test_p1_freeze_nonexistent_user","tests.api","Sun May 17 16:04:42 UTC 2026","passed","Sun May 17 16:04:43 UTC 2026","TestBillingNewEndpointsP1","test_billing","",""
"","235","test_p1_update_module_nonexistent","tests.api","Sun May 17 16:04:52 UTC 2026","passed","Sun May 17 16:04:52 UTC 2026","TestCoursesModulesP1","test_courses","",""
"P0: GET /api/v1/it-journey/constraints/{session_id}.","217","test_get_it_journey_constraints","tests.api","Sun May 17 16:06:07 UTC 2026","passed","Sun May 17 16:06:07 UTC 2026","TestJobsITJourney","test_jobs_endpoints","",""
"P0: POST /api/v1/payments/razorpay/order — create razorpay order.","209","test_create_razorpay_order","tests.api","Sun May 17 16:04:39 UTC 2026","failed","Sun May 17 16:04:39 UTC 2026","TestBillingNewEndpoints","test_billing","",""
"","219","test_get_a_company_profile_by_id","tests.api","Sun May 17 16:02:46 UTC 2026","passed","Sun May 17 16:02:47 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","2299","test_start_interview_with_job","tests.api","Sun May 17 16:05:29 UTC 2026","passed","Sun May 17 16:05:31 UTC 2026","TestAIInterview","test_interview","",""
"","232","test_delete_coding_question_pool_item_p0","tests.api","Sun May 17 16:15:14 UTC 2026","passed","Sun May 17 16:15:14 UTC 2026","TestQuizAPIs","test_quiz","",""
"P1: List pending add-user requests.","214","test_list_add_user_requests","tests.api","Sun May 17 16:03:37 UTC 2026","skipped","Sun May 17 16:03:37 UTC 2026","TestAuthAddUserRequests","test_auth","",""
"","237","test_delete_note","tests.api","Sun May 17 16:05:08 UTC 2026","passed","Sun May 17 16:05:08 UTC 2026","TestCoursesNotes","test_courses","",""
"P1: POST /me/mentor/availability with empty body → 422 or 403.","275","test_p1_create_availability_empty","tests.api","Sun May 17 16:06:19 UTC 2026","passed","Sun May 17 16:06:19 UTC 2026","TestMentorshipAvailability","test_mentorship","",""
"","1526","test_auth_docs","tests.api","Sun May 17 16:02:02 UTC 2026","passed","Sun May 17 16:02:04 UTC 2026","","test_auth","",""
"","218","test_create_roles","tests.api","Sun May 17 16:02:20 UTC 2026","passed","Sun May 17 16:02:20 UTC 2026","TestAuthProtected","test_auth","",""
"","667","test_root","tests.api","Sun May 17 16:02:16 UTC 2026","passed","Sun May 17 16:02:17 UTC 2026","TestAuthOther","test_auth","",""
"","221","test_p1_delete_note_nonexistent","tests.api","Sun May 17 16:05:10 UTC 2026","passed","Sun May 17 16:05:10 UTC 2026","TestCoursesNotesP1","test_courses","",""
"POST /auth/api/interview/schedule without token → 401/403.","280","test_p1_schedule_interview_no_auth","tests.api","Sun May 17 16:02:41 UTC 2026","passed","Sun May 17 16:02:42 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","228","test_p1_submit_review_missing_rating","tests.api","Sun May 17 16:04:57 UTC 2026","passed","Sun May 17 16:04:57 UTC 2026","TestCoursesReviewsP1","test_courses","",""
"","244","test_create_university_group","tests.api","Sun May 17 16:02:28 UTC 2026","passed","Sun May 17 16:02:28 UTC 2026","TestAuthUniversity","test_auth","",""
"","218","test_get_company","tests.api","Sun May 17 16:05:55 UTC 2026","passed","Sun May 17 16:05:55 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"","218","test_remove_group_member","tests.api","Sun May 17 16:04:15 UTC 2026","passed","Sun May 17 16:04:15 UTC 2026","TestAuthUniversities","test_auth","",""
"GET /api/students/results without token → 401.","288","test_p1_student_results_no_auth","tests.api","Sun May 17 16:03:07 UTC 2026","passed","Sun May 17 16:03:07 UTC 2026","TestAuthStudentAssessmentsP1","test_auth","",""
"P1: POST /v1/me/experiences with empty body → 422.","263","test_p1_create_experience_empty","tests.api","Sun May 17 16:06:31 UTC 2026","passed","Sun May 17 16:06:31 UTC 2026","TestMentorshipNewEndpointsP1","test_mentorship","",""
"","252","test_p1_update_course_no_auth","tests.api","Sun May 17 16:04:48 UTC 2026","passed","Sun May 17 16:04:48 UTC 2026","TestCoursesCRUDP1","test_courses","",""
"GET /api/shortlist/99999/enhanced → 404 or empty.","218","test_p1_enhanced_shortlist_nonexistent_jd","tests.api","Sun May 17 16:03:46 UTC 2026","passed","Sun May 17 16:03:47 UTC 2026","TestAuthShortlistEnhanced","test_auth","",""
"","1618","test_recommend_jobs","tests.api","Sun May 17 16:05:58 UTC 2026","passed","Sun May 17 16:06:00 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"P1: POST /api/v1/progress/lessons/{id}/complete without token → 401/403.","232","test_p1_complete_lesson_no_auth","tests.api","Sun May 17 16:05:23 UTC 2026","passed","Sun May 17 16:05:23 UTC 2026","TestCoursesNewEndpointsP1","test_courses","",""
"P1: POST /sessions/99999/review → 404.","268","test_p1_create_review_nonexistent","tests.api","Sun May 17 16:06:22 UTC 2026","passed","Sun May 17 16:06:22 UTC 2026","TestMentorshipSessions","test_mentorship","",""
"P0: GET /v1/me/current-mentor — get current mentor.","270","test_get_my_current_mentor","tests.api","Sun May 17 16:06:26 UTC 2026","passed","Sun May 17 16:06:26 UTC 2026","TestMentorshipNewEndpoints","test_mentorship","",""
"","228","test_list_users","tests.api","Sun May 17 16:02:29 UTC 2026","passed","Sun May 17 16:02:29 UTC 2026","TestAuthUniversity","test_auth","",""
"","366","test_practice_questions","tests.api","Sun May 17 16:05:12 UTC 2026","passed","Sun May 17 16:05:13 UTC 2026","TestCoursesQuizzes","test_courses","",""
"","271","test_p1_create_question_missing_fields","tests.api","Sun May 17 16:05:13 UTC 2026","passed","Sun May 17 16:05:14 UTC 2026","TestCoursesQuizzesP1","test_courses","",""
"P1: Get my specific IDP.","322","test_idp_get_my_idp","tests.api","Sun May 17 16:03:50 UTC 2026","passed","Sun May 17 16:03:51 UTC 2026","TestAuthIDPCRUD","test_auth","",""
"P0: Get my calendar.","296","test_get_my_calendar","tests.api","Sun May 17 16:06:20 UTC 2026","passed","Sun May 17 16:06:20 UTC 2026","TestMentorshipAvailability","test_mentorship","",""
"P0: List my availability slots (requires mentor role → may 403).","247","test_list_my_availability","tests.api","Sun May 17 16:06:18 UTC 2026","passed","Sun May 17 16:06:18 UTC 2026","TestMentorshipAvailability","test_mentorship","",""
